,time,h_values,x_halley,vx_halley,y_halley,vy_halley,z_halley,vz_halley,x_jupiter,vx_jupiter,y_jupiter,vy_jupiter,z_jupiter,vz_jupiter,x_saturne,vx_saturne,y_saturne,vy_saturne,z_saturne,vz_saturne,x_terre,vx_terre,y_terre,vy_terre,z_terre,vz_terre
10,268001.4290536661,23418.780777034917,205968013008.00195,-10395.224203537473,823318340000.4281,-13029.667624012793,-178580004986.59528,5603.707524074611,-180552927662.9276,14402.4048608695,-763636272528.6074,-3381.937952369686,29399191724.10845,1053.850762175006,1146401822689.048,6020.921634001574,-894082254752.8229,7718.218847911832,139680323050.19385,-1.5946238931519041,106488995175.48544,-19459.385697943188,102306718690.24521,20181.173760760903,5586637448.603307,-3645.901388698814
11,291417.8955118621,23416.46645819602,205724582098.70135,-10396.205617972626,823013185274.7323,-13033.592887545678,-178448775992.80078,5604.558672683589,-180215660672.93066,14403.562629688691,-763715408177.8846,-3377.036416569232,29423866975.238663,1053.6619888022972,1146542798009.3948,6019.778044072578,-893901510898.9519,7719.110592182126,139680284078.4389,-1.733953022162055,106032126151.48041,-19561.718099311864,102778135164.40756,20082.422037152675,5501200651.476679,-3651.240363918996
12,314833.8176576705,23415.92214580834,205481133866.16666,-10397.187119963557,822707945687.1926,-13037.52169280834,-178317530113.62036,5605.4102787678785,-179878374438.11285,14404.718204998837,-763794427209.1672,-3372.1344951843394,29448537230.69448,1053.4730617718837,1146683743273.2434,6018.634340182531,-893720750367.7854,7720.002135384398,139680241845.1083,-1.873278864800309,105572876613.081,-19663.616912784357,103247222927.0051,19983.2101053395,5415641782.556258,-3656.4973907864787
13,338248.4445889421,23414.62693127162,205237676117.43176,-10398.16867731279,822402630951.9484,-13041.453918825551,-178186271549.01932,5606.262315336227,-179541079828.49713,14405.871549674848,-763873327090.3175,-3367.2323468735403,29473201696.171097,1053.283987215519,1146824653960.6245,6017.490559055402,-893539978962.6378,7720.893448925667,139680196351.94196,-2.012596949382758,105111271684.41612,-19765.077294303203,103713956396.08908,19883.542607475887,5329965517.075716,-3661.6722143847296
14,361660.779866368,23412.335277425886,204994219215.87378,-10399.1502475112,822097253997.972,-13045.389402872224,-178055005878.27127,5607.11474639377,-179203791255.02386,14407.02261481043,-763952104478.3805,-3362.330181773175,29497859319.35996,1053.0947732705001,1146965524077.7686,6016.346749429633,-893359204385.485,7721.784494892192,139680147601.6267,-2.1519013432770784,104647341707.60417,-19866.093398015764,104178305467.3151,19783.425297640595,5244177447.87196,-3666.764537333758
15,385072.0386569945,23411.258790626554,204750750527.80197,-10400.131880766176,821791798909.8582,-13049.328353887044,-177923726281.42712,5607.967616455452,-178866491267.99927,14408.171460295858,-764030763475.285,-3357.4277469587664,29522511377.32202,1052.9054102049226,1147106360938.728,6015.2028519996375,-893178417262.3345,7722.675319546531,139680095592.3374,-2.2911992730062765,104181073301.9407,-19966.668932672266,104640284004.41306,19682.854485956213,5158275068.83998,-3671.774545641563
16,408481.71325374994,23409.674596755438,204507275334.581,-10401.113555052832,821486272242.1007,-13053.270691298338,-177792435597.67987,5608.820907318577,-178529187237.57455,14409.318061266558,-764109302383.1881,-3352.5251502358474,29547157332.503468,1052.7159022071473,1147247161490.5305,6014.058891627513,-892997621521.5945,7723.5659035764265,139680040325.7593,-2.4304877139190024,103712487204.65344,-20066.800162945092,105099871682.2456,19581.83383957873,5072262185.534461,-3676.702048647546
17,431889.0338538856,23407.32060013564,204263801645.93088,-10402.095237341546,821180683979.3418,-13057.216290026568,-177661138138.2219,5609.674591177422,-178191890313.1381,14410.462380246241,-764187718636.8414,-3347.622554350398,29571796371.875336,1052.5262556036698,1147387921106.5693,6012.914905997707,-892816823118.0271,7724.456217717296,139679981804.53415,-2.5697620818929274,103241609676.2597,-20166.482277539635,105557043311.93483,19480.36820441598,4986143579.983407,-3681.5468090372374
18,455293.78391341015,23404.750059524555,204020331719.01868,-10403.076917792961,820875036892.084,-13061.165117907723,-177529835112.79697,5610.5286603580025,-177854603674.23502,14411.604407015438,-764266011535.5183,-3342.720006216703,29596428265.21015,1052.336472253675,1147528638489.8271,6011.770905768725,-892636023735.0183,7725.3462537654905,139679920030.2337,-2.7090210847230023,102768456104.59409,-20265.712863418797,106011784776.99649,19378.460072161797,4899922010.86021,-3686.3087119278216
19,478697.3178963077,23403.53398289753,203776851467.02054,-10404.058652465588,820569313228.7699,-13065.117408078448,-177398518916.35864,5611.383164544887,-177517307858.83762,14412.744207874852,-764344185626.5125,-3337.817223641274,29621054435.37894,1052.1465412674515,1147669321787.0222,6010.6268248008655,-892455212918.7438,7726.236063248201,139679855000.07568,-2.8482727777488495,102293010002.12619,-20364.496140069168,106464112371.85727,19276.105065597236,4813594443.401437,-3690.9879568423844
